1/0: uncompressed; offset = 1894
2/0: uncompressed; offset = 2263
3/0: uncompressed; offset = 2488
4/0: uncompressed; offset = 4970
5/0: uncompressed; offset = 57935
6/0: uncompressed; offset = 58805
7/0: uncompressed; offset = 59742
8/0: uncompressed; offset = 60066
9/0: uncompressed; offset = 61269
10/0: uncompressed; offset = 61330
11/0: uncompressed; offset = 62532
12/0: uncompressed; offset = 63246
13/0: uncompressed; offset = 63595
14/0: uncompressed; offset = 81751
15/0: uncompressed; offset = 69751
16/0: compressed; stream = 70, index = 0
29/0: uncompressed; offset = 70418
30/0: uncompressed; offset = 16
31/0: uncompressed; offset = 70025
32/0: uncompressed; offset = 263
33/0: uncompressed; offset = 87110
34/0: compressed; stream = 69, index = 0
35/0: uncompressed; offset = 924
36/0: uncompressed; offset = 963
37/0: uncompressed; offset = 1146
38/0: uncompressed; offset = 1722
40/0: uncompressed; offset = 103
41/0: uncompressed; offset = 70909
44/0: uncompressed; offset = 81121
45/0: uncompressed; offset = 81459
46/0: uncompressed; offset = 87282
47/0: uncompressed; offset = 87335
48/0: uncompressed; offset = 87438
49/0: uncompressed; offset = 87488
50/0: uncompressed; offset = 87524
51/0: uncompressed; offset = 87587
52/0: uncompressed; offset = 87612
53/0: uncompressed; offset = 87660
54/0: uncompressed; offset = 87705
55/0: uncompressed; offset = 87866
56/0: uncompressed; offset = 88873
57/0: uncompressed; offset = 88964
58/0: uncompressed; offset = 89205
59/0: uncompressed; offset = 90527
60/0: uncompressed; offset = 97081
61/0: uncompressed; offset = 97188
62/0: uncompressed; offset = 98374
63/0: uncompressed; offset = 99554
64/0: uncompressed; offset = 100730
65/0: uncompressed; offset = 101905
66/0: uncompressed; offset = 102137
67/0: uncompressed; offset = 102360
68/0: uncompressed; offset = 102589
69/0: uncompressed; offset = 102826
70/0: uncompressed; offset = 103191
71/0: uncompressed; offset = 103567
72/0: uncompressed; offset = 103963
