1/0: uncompressed; offset = 2636
2/0: uncompressed; offset = 3024
3/0: uncompressed; offset = 3272
4/0: uncompressed; offset = 5777
5/0: uncompressed; offset = 58763
6/0: uncompressed; offset = 59651
7/0: uncompressed; offset = 60619
8/0: uncompressed; offset = 60963
9/0: uncompressed; offset = 62188
10/0: uncompressed; offset = 62270
11/0: uncompressed; offset = 63493
12/0: uncompressed; offset = 64224
13/0: uncompressed; offset = 64603
14/0: uncompressed; offset = 82588
15/0: uncompressed; offset = 70785
16/0: compressed; stream = 70, index = 0
17/0: compressed; stream = 10, index = 0
18/0: compressed; stream = 10, index = 1
19/0: compressed; stream = 10, index = 2
20/0: compressed; stream = 10, index = 3
21/0: compressed; stream = 10, index = 4
22/0: compressed; stream = 10, index = 5
23/0: compressed; stream = 10, index = 6
24/0: compressed; stream = 15, index = 0
25/0: compressed; stream = 15, index = 1
26/0: compressed; stream = 15, index = 2
27/0: compressed; stream = 15, index = 3
28/0: compressed; stream = 15, index = 4
29/0: uncompressed; offset = 71079
30/0: uncompressed; offset = 16
31/0: uncompressed; offset = 103
32/0: uncompressed; offset = 87947
33/0: uncompressed; offset = 88182
34/0: compressed; stream = 69, index = 0
35/0: uncompressed; offset = 1617
36/0: uncompressed; offset = 1656
37/0: uncompressed; offset = 1839
38/0: uncompressed; offset = 2440
39/0: compressed; stream = 38, index = 0
40/0: uncompressed; offset = 548
41/0: uncompressed; offset = 71568
42/0: compressed; stream = 44, index = 1
44/0: uncompressed; offset = 81872
45/0: uncompressed; offset = 82230
46/0: uncompressed; offset = 88354
47/0: uncompressed; offset = 88407
48/0: uncompressed; offset = 88510
49/0: uncompressed; offset = 88560
50/0: uncompressed; offset = 88596
51/0: uncompressed; offset = 88659
52/0: uncompressed; offset = 88684
53/0: uncompressed; offset = 88732
54/0: uncompressed; offset = 88777
55/0: uncompressed; offset = 88938
56/0: uncompressed; offset = 89965
57/0: uncompressed; offset = 90056
58/0: uncompressed; offset = 90322
59/0: uncompressed; offset = 91677
60/0: uncompressed; offset = 98264
61/0: uncompressed; offset = 98401
62/0: uncompressed; offset = 99587
63/0: uncompressed; offset = 100767
64/0: uncompressed; offset = 101943
65/0: uncompressed; offset = 103118
66/0: uncompressed; offset = 103368
67/0: uncompressed; offset = 103619
68/0: uncompressed; offset = 103875
69/0: uncompressed; offset = 104139
70/0: uncompressed; offset = 104537
71/0: uncompressed; offset = 104935
